"","SchoolID","SchoolName"
"548",609732,"STEINMETZ HS"
"549",609733,"SULLIVAN HS"
"550",609734,"TAFT HS"
"551",609735,"TILDEN HS"
"552",609737,"VON STEUBEN HS"
"553",609738,"LINCOLN PARK HS"
"554",609739,"WASHINGTON HS"
"555",609740,"WELLS HS"
"556",609741,"HUBBARD HS"
"557",609744,"NORTHSIDE LEARNING HS"
"558",609745,"SOUTHSIDE HS"
"559",609746,"KENWOOD HS"
"560",609748,"YORK HS"
"561",609749,"NORTHSIDE PREP HS"
"562",609750,"SIMPSON HS"
"563",609751,"KING HS"
"564",609753,"CHICAGO AGRICULTURE HS"
"565",609754,"CHICAGO MILITARY HS"
"566",609755,"YOUNG HS"
"567",609756,"CURIE HS"
"568",609759,"CLEMENTE HS"
"569",609760,"CARVER MILITARY HS"
"570",609761,"CORLISS HS"
"571",609762,"JULIAN HS"
"572",609764,"JUAREZ HS"
"573",609766,"VAUGHN HS"
"574",609768,"HOPE HS"
"575",609769,"GRAHAM HS"
"576",609772,"ADDAMS"
"577",609773,"AGASSIZ"
"578",609774,"ALCOTT ES"
"579",609777,"ARMOUR"
"580",609779,"ARMSTRONG G"
"581",609782,"AUDUBON"
"582",609783,"JEFFERSON HS"
"583",609786,"AVALON PARK"
"584",609788,"BARNARD"
"585",609789,"BARRY"
"586",609790,"BARTON"
"587",609791,"BASS"
"588",609792,"BATEMAN"
"589",609793,"NICHOLSON"
"590",609794,"EDISON"
"591",609795,"CLARK ES"
"592",609796,"BEAUBIEN"
"593",609797,"BEIDLER"
"594",609798,"BELDING"
"595",609799,"BELL"
"596",609800,"BENNETT"
"597",609803,"BLAINE"
"598",609804,"BOONE"
"599",609805,"JOPLIN"
"600",609806,"BRADWELL"
"601",609807,"HAMPTON"
"602",609808,"HALEY"
"603",609809,"BRENTANO"
"604",609810,"BRIDGE"
"605",609811,"BRIGHT"
"606",609812,"BROWN W"
"607",609813,"BROWNELL"
"608",609815,"BOUCHET"
"609",609817,"BUDLONG"
"610",609818,"BURBANK"
"611",609819,"BURKE"
"612",609820,"BURLEY"
"613",609821,"BURNHAM"
"614",609826,"CASTELLANOS"
"615",609827,"BURNSIDE"
"616",609828,"BURR"
"617",609829,"BURROUGHS"
"618",609830,"BRUNSON"
"619",609832,"BYRNE"
"620",609833,"CALDWELL"
"621",609834,"LITTLE VILLAGE"
"622",609835,"CAMERON"
"623",609836,"CANTY"
"624",609837,"CARNEGIE"
"625",609839,"CARROLL"
"626",609842,"CARSON"
"627",609844,"CARTER"
"628",609845,"CARVER G"
"629",609848,"ALDRIDGE"
"630",609849,"CASSELL"
"631",609850,"GREELEY"
"632",609851,"CHALMERS"
"633",609852,"CHAPPELL"
"634",609853,"CHASE"
"635",609854,"CHOPIN"
"636",609855,"CHRISTOPHER"
"637",609856,"CLAY"
"638",609857,"CLEVELAND"
"639",609859,"CLINTON"
"640",609861,"CLISSOLD"
"641",609862,"COLES"
"642",609863,"COLUMBUS"
"643",609864,"COOK"
"644",609865,"JORDAN"
"645",609866,"COONLEY"
"646",609867,"COOPER"
"647",609869,"LANGFORD"
"648",609870,"CORKERY"
"649",609871,"VICK"
"650",609872,"PEREZ"
